alamat,luas_tanah,kecamatan,NJOP_Rp_per_m2,Sertifikat,Sewa_per_Bulan,Aksesbilitas,luas_tanah_m2,Jenis_zona,Aksesibilitas,Tingkat_Keamanan,Kepadatan_Penduduk
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 3700 m²,Genteng,6195000,HGB,114607500,Buruk,3700.0,Komersial,Baik,tinggi,52924
"Jl. Kedungdoro No. 1, Surabaya",LT : 1487 m²,Tegalsari,6805000,HGB,50595175,Buruk,1487.0,Komersial,Baik,tinggi,92014
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 124 m²,Sukomanunggal,5625000,Lainnya,3487500,Buruk,124.0,Industri,Buruk,rendah,101259
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 1125 m²,Rungkut,2352000,HGB,13230000,Buruk,1125.0,Perumahan,Buruk,rendah,123757
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",,Sambikerep,1032000,HGB,18514080,Buruk,3588.0,Komersial,Buruk,rendah,63778
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",,Sukomanunggal,5625000,HGB,52987500,Baik,1884.0,Industri,Buruk,rendah,101259
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 6000 m²,Rungkut,2352000,Lainnya,70560000,Buruk,6000.0,Perumahan,Buruk,rendah,123757
"Jl. Kedungdoro No. 1, Surabaya",,Tegalsari,6805000,SHM,273356850,Buruk,8034.0,Komersial,Baik,rendah,92014
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 350 m²,Kenjeran,1862000,Lainnya,3258500,Baik,350.0,Perumahan,Baik,rendah,181325
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 355 m²,Tambaksari,2352000,HGB,4174800,Baik,355.0,Perumahan,Buruk,tinggi,214966
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",,Gunung Anyar,1862000,Lainnya,18824820,Baik,2022.0,Perumahan,Buruk,rendah,62482
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 810 m²,Tambaksari,2352000,Lainnya,9525600,Buruk,810.0,Perumahan,Buruk,tinggi,214966
"Jl. Raya Gubeng No. 60, Surabaya",LT : 181 m²,Gubeng,5625000,Lainnya,5090625,Baik,181.0,Komersial,Baik,tinggi,123961
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 450 m²,Lakarsantri,1032000,Lainnya,2322000,Baik,450.0,Perumahan,Buruk,tinggi,59256
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",,Sukomanunggal,5625000,Lainnya,273600000,Buruk,9728.0,Industri,Baik,rendah,101259
"Jl. Kedungdoro No. 1, Surabaya",,Tegalsari,6805000,Lainnya,96154650,Baik,2826.0,Komersial,Buruk,rendah,92014
"Jl. Simokerto No. 12, Surabaya",,Simokerto,2500000,Lainnya,55125000,Baik,4410.0,Komersial,Buruk,rendah,86897
"Jl. Raya Sememi No. 15, Benowo, Surabaya",,Benowo,1032000,SHM,22987800,Buruk,4455.0,Industri,Baik,tinggi,69938
"Jl. Raya Sememi No. 15, Benowo, Surabaya",,Benowo,1032000,SHM,18323160,Baik,3551.0,Industri,Buruk,tinggi,69938
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",LT : 35000 m²,Mulyorejo,1416000,SHM,247800000,Buruk,35000.0,Industri,Buruk,tinggi,86545
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 360 m²,Benowo,1032000,SHM,1857600,Baik,360.0,Industri,Buruk,rendah,69938
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 216 m²,Lakarsantri,1032000,SHM,1114560,Baik,216.0,Industri,Buruk,rendah,59256
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 800 m²,Lakarsantri,1032000,SHM,4128000,Baik,800.0,Industri,Buruk,tinggi,59256
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 1717 m²,Sambikerep,1032000,Lainnya,8859720,Buruk,1717.0,Perumahan,Baik,rendah,63778
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 976 m²,Lakarsantri,1032000,Lainnya,5036160,Buruk,976.0,Perumahan,Baik,tinggi,59256
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 371 m²,Lakarsantri,1032000,HGB,1914360,Buruk,371.0,Perumahan,Baik,tinggi,59256
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 4201 m²,Gunung Anyar,1862000,HGB,39111310,Buruk,4201.0,Komersial,Baik,rendah,62482
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 4100 m²,Benowo,1032000,Lainnya,21156000,Baik,4100.0,Industri,Buruk,tinggi,69938
"Jl. Bulak No. 3, Surabaya",,Bulak,1500000,HGB,61957500,Baik,8261.0,Industri,Baik,rendah,43764
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 10200 m²,Benowo,1032000,HGB,52632000,Buruk,10200.0,Industri,Buruk,rendah,69938
"Jl. Kedungdoro No. 1, Surabaya",,Tegalsari,6805000,Lainnya,100782050,Baik,2962.0,Komersial,Baik,rendah,92014
"Jl. Raya Lakarsantri No. 10, Surabaya",LT 360 m²,Lakarsantri,1032000,HGB,1857600,Baik,360.0,Industri,Baik,rendah,59256
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 1840 m²,Benowo,1032000,Lainnya,9494400,Buruk,1840.0,Industri,Buruk,tinggi,69938
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",,Sambikerep,1032000,Lainnya,7807080,Baik,1513.0,Komersial,Buruk,tinggi,63778
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 2000 m²,Rungkut,2352000,Lainnya,23520000,Baik,2000.0,Perumahan,Baik,tinggi,123757
"Jl. Simokerto No. 12, Surabaya",,Simokerto,2500000,Lainnya,108112500,Baik,8649.0,Perumahan,Buruk,rendah,86897
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 1125 m²,Gunung Anyar,1862000,SHM,10473750,Buruk,1125.0,Perumahan,Baik,rendah,62482
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 626 m²,Sambikerep,1032000,HGB,3230160,Buruk,626.0,Perumahan,Buruk,tinggi,63778
"Jl. Petemon No. 77, Sawahan, Surabaya",,Sawahan,1416000,Lainnya,2322240,Buruk,328.0,Perumahan,Baik,tinggi,188693
"Jl. Kedungdoro No. 1, Surabaya",,Tegalsari,6805000,HGB,254847250,Buruk,7490.0,Komersial,Buruk,tinggi,92014
"Jl. Simokerto No. 12, Surabaya",,Simokerto,2500000,HGB,117012500,Baik,9361.0,Komersial,Buruk,tinggi,86897
"Jl. Raya Gubeng No. 60, Surabaya",LT : 20000 m²,Gubeng,5625000,HGB,562500000,Buruk,20000.0,Komersial,Baik,tinggi,123961
"Jl. Pakal No. 10, Surabaya",,Pakal,1200000,HGB,54822000,Baik,9137.0,Industri,Baik,tinggi,59971
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 11267 m²,Benowo,1032000,HGB,58137720,Baik,11267.0,Industri,Buruk,rendah,69938
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",,Wonokromo,5625000,HGB,177496875,Buruk,6311.0,Komersial,Buruk,tinggi,144650
"Jl. Kedungdoro No. 1, Surabaya",,Tegalsari,6805000,Lainnya,191084400,Baik,5616.0,Komersial,Baik,rendah,92014
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 340 m²,Genteng,6195000,SHM,10531500,Baik,340.0,Komersial,Buruk,tinggi,52924
"Jl. Bubutan No. 2, Surabaya",,Bubutan,4000000,HGB,58360000,Buruk,2918.0,Perumahan,Buruk,rendah,90646
"Jl. Raya Lakarsantri No. 10, Surabaya",,Lakarsantri,1032000,HGB,31310880,Buruk,6068.0,Perumahan,Baik,tinggi,59256
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 810 m²,Kenjeran,1862000,SHM,7541100,Baik,810.0,Perumahan,Buruk,tinggi,181325
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",,Kenjeran,1862000,HGB,70811860,Buruk,7606.0,Perumahan,Baik,rendah,181325
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 836 m²,Kenjeran,1862000,Lainnya,7783160,Baik,836.0,Perumahan,Buruk,tinggi,181325
"Jl. Raya Lakarsantri No. 10, Surabaya",LT 375m²,Lakarsantri,1032000,Lainnya,1935000,Baik,375.0,Komersial,Baik,rendah,59256
"Jl. Kedungdoro No. 1, Surabaya",LT : 840 m²,Tegalsari,6805000,HGB,28581000,Baik,840.0,Komersial,Buruk,rendah,92014
"Jl. Tandes No. 14, Surabaya",,Tandes,2000000,Lainnya,41180000,Baik,4118.0,Perumahan,Buruk,tinggi,87511
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 1300 m²,Kenjeran,1862000,SHM,12103000,Baik,1300.0,Perumahan,Baik,rendah,181325
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",LT : 280 m²,Mulyorejo,1416000,SHM,1982400,Buruk,280.0,Komersial,Baik,rendah,86545
"Jl. Raya Lakarsantri No. 10, Surabaya",,Lakarsantri,1032000,SHM,31176720,Buruk,6042.0,Komersial,Baik,tinggi,59256
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 100 m²,Benowo,1032000,HGB,516000,Baik,100.0,Industri,Buruk,tinggi,69938
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",lt 283m2,Sambikerep,1032000,HGB,1460280,Baik,283.0,Komersial,Buruk,tinggi,63778
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 10200 m²,Benowo,1032000,HGB,52632000,Baik,10200.0,Industri,Baik,rendah,69938
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 1429 m²,Benowo,1032000,Lainnya,7373640,Buruk,1429.0,Industri,Baik,tinggi,69938
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",,Sambikerep,1032000,SHM,4179600,Buruk,810.0,Komersial,Buruk,tinggi,63778
"Jl. Jambangan No. 6, Surabaya",,Jambangan,2500000,SHM,8125000,Baik,650.0,Industri,Baik,tinggi,50470
"Jl. Raya Gubeng No. 60, Surabaya",LT : 1800 m²,Gubeng,5625000,HGB,50625000,Baik,1800.0,Komersial,Buruk,rendah,123961
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 7800 m²,Genteng,6195000,Lainnya,241605000,Buruk,7800.0,Komersial,Baik,rendah,52924
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 150 m²,Sambikerep,1032000,HGB,774000,Baik,150.0,Perumahan,Buruk,rendah,63778
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 240 m²,Sukomanunggal,5625000,Lainnya,6750000,Baik,240.0,Industri,Buruk,rendah,101259
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 5252 m²,Wonokromo,5625000,SHM,147712500,Buruk,5252.0,Komersial,Buruk,tinggi,144650
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",,Tambaksari,2352000,Lainnya,9419760,Baik,801.0,Perumahan,Baik,tinggi,214966
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 1048 m²,Sukomanunggal,5625000,HGB,29475000,Baik,1048.0,Industri,Baik,tinggi,101259
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 1000 m²,Lakarsantri,1032000,SHM,5160000,Buruk,1000.0,Perumahan,Baik,tinggi,59256
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 785 m²,Sambikerep,1032000,SHM,4050600,Baik,785.0,Komersial,Baik,tinggi,63778
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 550 m²,Rungkut,2352000,SHM,6468000,Baik,550.0,Perumahan,Baik,rendah,123757
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 14 m²,Tambaksari,2352000,Lainnya,164640,Baik,14.0,Perumahan,Buruk,rendah,214966
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 7200 m²,Rungkut,2352000,Lainnya,84672000,Buruk,7200.0,Perumahan,Buruk,rendah,123757
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 1500 m²,Benowo,1032000,HGB,7740000,Buruk,1500.0,Industri,Buruk,tinggi,69938
"Jl. Simokerto No. 12, Surabaya",,Simokerto,2500000,Lainnya,107100000,Baik,8568.0,Komersial,Buruk,rendah,86897
"Jl. Asemrowo No. 1, Surabaya",,Asemrowo,2500000,HGB,94437500,Baik,7555.0,Industri,Buruk,rendah,45547
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",,Tambaksari,2352000,Lainnya,97008240,Buruk,8249.0,Perumahan,Baik,tinggi,214966
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 154 m²,Lakarsantri,1032000,Lainnya,794640,Baik,154.0,Komersial,Baik,rendah,59256
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 1125 m²,Genteng,6195000,SHM,34846875,Buruk,1125.0,Komersial,Baik,tinggi,52924
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 1260 m²,Benowo,1032000,Lainnya,6501600,Buruk,1260.0,Industri,Baik,tinggi,69938
"Jl. Wonocolo No. 16, Surabaya",,Wonocolo,2800000,HGB,23142000,Buruk,1653.0,Komersial,Baik,tinggi,75315
"Jl. Karang Pilang No. 7, Surabaya",,Karang Pilang,1800000,HGB,89325000,Baik,9925.0,Industri,Baik,tinggi,75315
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 294 m²,Sawahan,1416000,SHM,2081520,Baik,294.0,Perumahan,Baik,rendah,188693
"Jl. Kedungdoro No. 1, Surabaya",,Tegalsari,6805000,Lainnya,329940425,Baik,9697.0,Komersial,Buruk,tinggi,92014
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 810 m²,Sambikerep,1032000,HGB,4179600,Baik,810.0,Komersial,Baik,tinggi,63778
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 214 m²,Sambikerep,1032000,SHM,1104240,Baik,214.0,Perumahan,Buruk,rendah,63778
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 810 m²,Gunung Anyar,1862000,Lainnya,7541100,Baik,810.0,Perumahan,Buruk,tinggi,62482
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 1701 m²,Lakarsantri,1032000,HGB,8777160,Baik,1701.0,Perumahan,Baik,rendah,59256
"Jl. Pakal No. 10, Surabaya",,Pakal,1200000,HGB,4338000,Baik,723.0,Industri,Baik,tinggi,59971
"Jl. Dukuh Pakis No. 4, Surabaya",,Dukuh Pakis,5000000,SHM,165425000,Baik,6617.0,Komersial,Buruk,tinggi,56707
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 1750 m²,Lakarsantri,1032000,Lainnya,9030000,Baik,1750.0,Perumahan,Buruk,tinggi,59256
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",,Sukomanunggal,5625000,SHM,9956250,Baik,354.0,Industri,Buruk,rendah,101259
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 1250 m²,Lakarsantri,1032000,SHM,6450000,Baik,1250.0,Perumahan,Buruk,rendah,59256
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 20000 m²,Rungkut,2352000,Lainnya,235200000,Baik,20000.0,Perumahan,Baik,tinggi,123757
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 10716 m²,Rungkut,2352000,SHM,126020160,Baik,10716.0,Perumahan,Buruk,rendah,123757
"Jl. Sukolilo No. 13, Surabaya",,Sukolilo,4000000,SHM,88100000,Baik,4405.0,Perumahan,Buruk,rendah,110557
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 11267 m²,Kenjeran,1862000,Lainnya,104895770,Buruk,11267.0,Perumahan,Buruk,tinggi,181325
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",LT : 3000 m²,Mulyorejo,1416000,HGB,21240000,Baik,3000.0,Industri,Buruk,rendah,86545
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 1000 m²,Tambaksari,2352000,HGB,11760000,Buruk,1000.0,Perumahan,Baik,tinggi,214966
"Jl. Kedungdoro No. 1, Surabaya",LT : 2300 m²,Tegalsari,6805000,HGB,78257500,Baik,2300.0,Komersial,Buruk,rendah,92014
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",LT : 3500 m²,Mulyorejo,1416000,HGB,24780000,Baik,3500.0,Komersial,Buruk,tinggi,86545
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 790 m²,Kenjeran,1862000,Lainnya,7354900,Baik,790.0,Perumahan,Baik,rendah,181325
"Jl. Krembangan No. 8, Surabaya",,Krembangan,3500000,SHM,70087500,Buruk,4005.0,Industri,Baik,tinggi,109027
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 300 m²,Sawahan,1416000,Lainnya,2124000,Buruk,300.0,Perumahan,Baik,tinggi,188693
"Jl. Bubutan No. 2, Surabaya",,Bubutan,4000000,Lainnya,56640000,Baik,2832.0,Komersial,Baik,tinggi,90646
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 1500 m²,Benowo,1032000,SHM,7740000,Baik,1500.0,Industri,Baik,tinggi,69938
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 1036 m²,Sawahan,1416000,HGB,7334880,Baik,1036.0,Perumahan,Baik,rendah,188693
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 360 m²,Benowo,1032000,Lainnya,1857600,Buruk,360.0,Industri,Baik,tinggi,69938
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",,Tambaksari,2352000,HGB,20039040,Buruk,1704.0,Perumahan,Baik,rendah,214966
"Jl. Raya Gubeng No. 60, Surabaya",LT 1167 meter,Gubeng,5625000,SHM,32821875,Baik,1167.0,Komersial,Baik,rendah,123961
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 500 m²,Kenjeran,1862000,Lainnya,4655000,Baik,500.0,Perumahan,Baik,rendah,181325
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 3100 m²,Lakarsantri,1032000,SHM,15996000,Baik,3100.0,Perumahan,Baik,tinggi,59256
"Jl. Tandes No. 14, Surabaya",,Tandes,2000000,SHM,44140000,Buruk,4414.0,Komersial,Buruk,rendah,87511
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",,Wonokromo,5625000,HGB,191671875,Buruk,6815.0,Komersial,Buruk,rendah,144650
"Jl. Tandes No. 14, Surabaya",,Tandes,2000000,HGB,2830000,Baik,283.0,Komersial,Baik,tinggi,87511
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 800 m²,Lakarsantri,1032000,HGB,4128000,Buruk,800.0,Komersial,Baik,tinggi,59256
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 630 m²,Benowo,1032000,HGB,3250800,Baik,630.0,Industri,Buruk,tinggi,69938
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 10800 m²,Benowo,1032000,Lainnya,55728000,Buruk,10800.0,Industri,Baik,tinggi,69938
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 600 m²,Sukomanunggal,5625000,SHM,16875000,Buruk,600.0,Industri,Buruk,rendah,101259
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",,Tambaksari,2352000,Lainnya,86106720,Baik,7322.0,Perumahan,Baik,rendah,214966
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 572 m²,Sambikerep,1032000,HGB,2951520,Baik,572.0,Perumahan,Baik,rendah,63778
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 800 m²,Lakarsantri,1032000,HGB,4128000,Buruk,800.0,Komersial,Buruk,rendah,59256
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 4000 m²,Wonokromo,5625000,Lainnya,112500000,Baik,4000.0,Komersial,Baik,rendah,144650
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 4000 m²,Rungkut,2352000,HGB,47040000,Buruk,4000.0,Perumahan,Baik,tinggi,123757
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",LT : 344 m²,Wiyung,1416000,HGB,2435520,Buruk,344.0,Komersial,Buruk,tinggi,71605
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 3700 m²,Lakarsantri,1032000,Lainnya,19092000,Baik,3700.0,Perumahan,Baik,tinggi,59256
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 371 m²,Lakarsantri,1032000,HGB,1914360,Baik,371.0,Komersial,Baik,tinggi,59256
"Jl. Raya Sememi No. 15, Benowo, Surabaya",,Benowo,1032000,HGB,18312840,Buruk,3549.0,Industri,Buruk,tinggi,69938
"Jl. Wonocolo No. 16, Surabaya",,Wonocolo,2800000,Lainnya,55384000,Buruk,3956.0,Industri,Baik,rendah,75315
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 3500 m²,Rungkut,2352000,HGB,41160000,Buruk,3500.0,Perumahan,Buruk,rendah,123757
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",LT : 1429 m²,Mulyorejo,1416000,HGB,10117320,Buruk,1429.0,Industri,Baik,rendah,86545
"Jl. Raya Gubeng No. 60, Surabaya",,Gubeng,5625000,SHM,243562500,Baik,8660.0,Komersial,Buruk,rendah,123961
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 800 m²,Gunung Anyar,1862000,Lainnya,7448000,Baik,800.0,Komersial,Buruk,rendah,62482
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 1125 m²,Benowo,1032000,SHM,5805000,Buruk,1125.0,Industri,Baik,tinggi,69938
"Jl. Raya Gubeng No. 60, Surabaya",LT : 110 m²,Gubeng,5625000,Lainnya,3093750,Baik,110.0,Komersial,Baik,tinggi,123961
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 800 m²,Lakarsantri,1032000,HGB,4128000,Buruk,800.0,Industri,Buruk,rendah,59256
"Jl. Simokerto No. 12, Surabaya",,Simokerto,2500000,Lainnya,47112500,Buruk,3769.0,Perumahan,Buruk,tinggi,86897
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 110 m²,Wonokromo,5625000,Lainnya,3093750,Baik,110.0,Komersial,Buruk,rendah,144650
"Jl. Raya Lakarsantri No. 10, Surabaya",LT 360 m²,Lakarsantri,1032000,Lainnya,1857600,Baik,360.0,Industri,Baik,rendah,59256
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 280 m²,Lakarsantri,1032000,SHM,1444800,Buruk,280.0,Komersial,Baik,tinggi,59256
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 1140 m²,Genteng,6195000,SHM,35311500,Buruk,1140.0,Komersial,Buruk,tinggi,52924
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",,Rungkut,2352000,Lainnya,84272160,Buruk,7166.0,Perumahan,Baik,rendah,123757
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 360 m²,Benowo,1032000,Lainnya,1857600,Baik,360.0,Industri,Baik,rendah,69938
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 504 m²,Lakarsantri,1032000,Lainnya,2600640,Buruk,504.0,Perumahan,Baik,tinggi,59256
"Jl. Kedungdoro No. 1, Surabaya",LT : 59739 m²,Tegalsari,6805000,HGB,2032619475,Baik,59739.0,Komersial,Baik,tinggi,92014
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 1954 m²,Sambikerep,1032000,HGB,10082640,Buruk,1954.0,Komersial,Buruk,tinggi,63778
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",,Sambikerep,1032000,HGB,19535760,Buruk,3786.0,Perumahan,Buruk,rendah,63778
"Jl. Karang Pilang No. 7, Surabaya",,Karang Pilang,1800000,SHM,39042000,Buruk,4338.0,Industri,Buruk,rendah,75315
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 287 m²,Sukomanunggal,5625000,HGB,8071875,Baik,287.0,Industri,Baik,rendah,101259
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 200 m²,Benowo,1032000,Lainnya,1032000,Baik,200.0,Industri,Buruk,rendah,69938
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 1145 m²,Benowo,1032000,Lainnya,5908200,Buruk,1145.0,Industri,Baik,tinggi,69938
"Jl. Kedungdoro No. 1, Surabaya",,Tegalsari,6805000,SHM,58420925,Buruk,1717.0,Komersial,Buruk,tinggi,92014
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 2000 m²,Tambaksari,2352000,SHM,23520000,Baik,2000.0,Perumahan,Baik,tinggi,214966
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",,Wonokromo,5625000,HGB,50765625,Baik,1805.0,Komersial,Baik,tinggi,144650
"Jl. Kedungdoro No. 1, Surabaya",LT : 2002 m²,Tegalsari,6805000,SHM,68118050,Buruk,2002.0,Komersial,Buruk,tinggi,92014
"Jl. Gayungan No. 5, Surabaya",,Gayungan,3000000,SHM,43365000,Baik,2891.0,Komersial,Buruk,rendah,41289
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",,Mulyorejo,1416000,SHM,32582160,Baik,4602.0,Perumahan,Baik,tinggi,86545
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 1003 m²,Lakarsantri,1032000,HGB,5175480,Buruk,1003.0,Perumahan,Buruk,tinggi,59256
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 1167 m²,Rungkut,2352000,Lainnya,13723920,Baik,1167.0,Perumahan,Buruk,tinggi,123757
"Jl. Simokerto No. 12, Surabaya",,Simokerto,2500000,SHM,71625000,Buruk,5730.0,Komersial,Buruk,tinggi,86897
"Jl. Raya Gubeng No. 60, Surabaya",LT : 12880 m²,Gubeng,5625000,HGB,362250000,Baik,12880.0,Komersial,Baik,tinggi,123961
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",,Tambaksari,2352000,Lainnya,97937280,Baik,8328.0,Perumahan,Buruk,rendah,214966
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",LT : 1125 m²,Mulyorejo,1416000,HGB,7965000,Buruk,1125.0,Perumahan,Buruk,tinggi,86545
"Jl. Kedungdoro No. 1, Surabaya",LT : 565 m²,Tegalsari,6805000,HGB,19224125,Buruk,565.0,Komersial,Buruk,tinggi,92014
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 50000 m²,Benowo,1032000,HGB,258000000,Buruk,50000.0,Industri,Buruk,tinggi,69938
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 375 m²,Gunung Anyar,1862000,HGB,3491250,Buruk,375.0,Industri,Baik,tinggi,62482
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 330 m²,Sawahan,1416000,Lainnya,2336400,Buruk,330.0,Perumahan,Buruk,rendah,188693
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 6050 m²,Genteng,6195000,SHM,187398750,Buruk,6050.0,Komersial,Buruk,rendah,52924
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 1750 m²,Wonokromo,5625000,HGB,49218750,Buruk,1750.0,Komersial,Baik,rendah,144650
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 320 m²,Gunung Anyar,1862000,HGB,2979200,Baik,320.0,Komersial,Buruk,tinggi,62482
"Jl. Petemon No. 77, Sawahan, Surabaya",,Sawahan,1416000,HGB,21197520,Buruk,2994.0,Perumahan,Baik,rendah,188693
